Data;Estagio;Precipitacao;ET0;KC;CAD_Max;FatorF_Estresse;CAD_Estresse;FatorF_Otimizado;CAD_Otimizado
44527;Crescimento;23.20;1.10;0.80;50.00;0.50;25.00;0.40;30.00
44528;Crescimento;0.00;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44529;Crescimento;0.00;5.00;0.80;50.00;0.50;25.00;0.40;30.00
44530;Crescimento;10.80;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44531;Crescimento;0.20;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44532;Crescimento;0.00;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44533;Crescimento;0.20;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44534;Crescimento;0.00;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44535;Crescimento;14.60;4.70;0.80;50.00;0.50;25.00;0.40;30.00
44536;Crescimento;8.40;1.90;0.80;50.00;0.50;25.00;0.40;30.00
44537;Crescimento;0.20;3.10;0.80;50.00;0.50;25.00;0.40;30.00
44538;Crescimento;37.60;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44539;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44540;Crescimento;0.00;5.10;0.80;50.00;0.50;25.00;0.40;30.00
44541;Crescimento;0.00;4.80;0.80;50.00;0.50;25.00;0.40;30.00
